Question,Answers
What do we call the empire that Genghis Khan founded?,the Mongol Empire; Mongol Empire; Mongol Empire
Who did Genghis Khan unite before he began conquering the rest of Eurasia?,many of the nomadic tribes of Northeast Asia; nomadic tribes of Northeast Asia; many of the nomadic tribes of Northeast Asia.
In which regions in particular did Genghis Khan's armies massacre civilians?,"Khwarezmian and Xia controlled lands; Khwarezmian and Xia controlled lands; Qara Khitai, Caucasus, Khwarezmid Empire, Western Xia and Jin dynasties"
What areas did Genghis Khan control at the end of his life?,a substantial portion of Central Asia and China; substantial portion of Central Asia and China; a substantial portion of Central Asia and China
Which other empires or dynasties did Genghis Khan conquer?,"the Qara Khitai, Caucasus, Khwarezmid Empire, Western Xia and Jin dynasties; Qara Khitai, Caucasus, Khwarezmid Empire, Western Xia and Jin; Khwarezmian and Xia controlled lands"
Who did Genghis Khan assign as his successor?,Ögedei Khan; Ögedei Khan; Ögedei Khan
What year did Genghis Khan die?,1227; 1227; 1227
Which empire was the last one Genghis Khan conquered before he died?,Western Xia; Western Xia; Western Xia
Among whom was Genghis Khan's empire split after his death?,his sons and grandsons; sons and grandsons; his sons and grandsons.
Where was Genghis Khan buried?,somewhere in Mongolia at an unknown location; Mongolia; unmarked grave somewhere in Mongolia
Where was Genghis Khan likely born?,"Delüün Boldog; Delüün Boldog; Delüün Boldog,"
Who was Genghis Khan's father?,"Yesügei, a Khamag Mongol's major chief of the Kiyad; Yesügei; Yesügei"
"What year was Temüjin, who became Genghis Khan, likely born?",1162; 1162; 1162
Who might Temüjin have been named after?,"a Tatar chieftain, Temüjin-üge, whom his father had just captured; Temüjin-üge; Tatar chieftain, Temüjin-üge"
What was Temüjin' sister's name?,Temülen; Temülen; Temülen
Who were Temüjin's three full brothers?,"Hasar, Hachiun, and Temüge; Hasar, Hachiun, and Temüge; Hasar, Hachiun, and Temüge"
What was the name of the wife arranged for Temüjin by his father?,Börte; Börte; Börte
Which tribe did Temüjin move in with at nine years of age?,Khongirad; Khongirad; Khongirad
Who was the head of the household that Temüjin joined when he was nine years old?,Dai Setsen; Dai Setsen; Dai Setsen
Which of Temüjin's brothers took up the role of male leader of the family?,Begter; Begter; Begter
Who would Begter have married when he came of age?,Hoelun; Hoelun; Temujin's mother
"Who killed Begter, Temüjin's half-brother?",Temüjin and his brother Khasar; Temüjin and his brother Khasar; Temüjin and his brother Khasar
When was Temüjin's half-brother Begter killed?,during one hunting excursion; one hunting excursion; during one hunting excursion
Who captured and held Temüjin prisoner around 1177?,"the Tayichi'ud; Tayichi'ud; his father's former allies, the Tayichi'ud"
How was Temüjin kept imprisoned by the Tayichi'ud?,"with a cangue, a sort of portable stocks; cangue; cangue, a sort of portable stocks"
Which of his future general's fathers helped Temüjin escape the Tayichi'ud?,Chilaun; Chilaun; the father of Chilaun
Which of his future generals joined forces with Temüjin around the time of his escape from the Tayichi'ud?,Jelme and Bo'orchu; Jelme and Bo'orchu; Jelme and Bo'orchu
Where did Temüjin hide during his escape from the Tayichi'ud?,a river crevice; a river crevice; a river crevice.
What was used to from political alliances among the Mongolian tribal confederations?,arranged marriages; arranged marriages; arranged marriages
Who taught Temüjin early lessons about politics in Mongolia?,Temüjin's mother Hoelun; Hoelun; Temüjin's mother Hoelun
Which foreign forces often meddled in the Mongolian political scene?,the Chinese dynasties to the south; Chinese dynasties; Chinese dynasties to the south
What did Temüjin's mother emphasize in his lessons about Mongolia's volatile political climate?,the need for alliances; need for alliances; need for alliances.
What was the tribe of the woman Temüjin married when he was around 16 years old?,the Onggirat; Onggirat; Onggirat tribe
Who kidnapped Temüjin's first wife soon after they were married?,the Merkits; Merkits; the Merkits
Who helped Temüjin rescue his wife from the Merkits?,"Jamukha, and his protector, Toghrul Khan of the Keraite tribe; Jamukha, and his protector, Toghrul Khan; Jamukha, and his protector, Toghrul Khan"
What was the name of Temüjin's wife Börte's first son?,Jochi; Jochi; Jochi
What year did Börte's give birth to Jochi?,1185; 1185; (1185
How many sons did Börte bear Genghis Khan after Jochi?,three; three; three
What was the name of Börte's second male child?,Chagatai; Chagatai; Ögedei
What year did two of Ghengis Khan and Börte's sons die?,1241; 1241; 1241
Which male child of Ghengis Khan and Börte was born last?,Tolui; Tolui; Tolui
How many names of Ghengis Khan's daughters are known?,six; six; six
What is an anda?,sworn brother or blood brother; sworn brother; sworn brother or blood brother)
With whom was Temüjin's first important alliance?,Toghrul; Toghrul; Toghrul
What tribe did Toghrul lead?,the Keraites; Keraites; Keraites
How many warriors did Toghrul provide Temüjin when his wife was captured?,"20,000; 20,000; 20,000"
Which of Temüjin's childhood friends did Toghrul suggest he also enlist?,Jamukha; Jamukha; Jamukha
Who did Jamukha support that were not part of Temüjin's power base?,the traditional Mongolian aristocracy; traditional Mongolian aristocracy; the traditional Mongolian aristocracy
Which shaman's proclamation aided Temüjin's rise?,Kokochu; Kokochu; Kokochu
When was Temüjin elected khan of the Mongols?,1186; 1186; 1186
Which battle did Temüjin lose to Jamukha shortly after his election as khan?,Battle of Dalan Balzhut; Battle of Dalan Balzhut; 1187
Where was Temüjin's patron Toghrul exiled?,Qara Khitai; Qara Khitai; Qara Khitai.
What was the name of Temüjin's laws?,the Yassa code; Yassa code; Yassa code
What did Temüjin promise his followers in exchange for their obedience?,wealth from future possible war spoils; wealth; wealth
Who did Temüjin's mother adopt to help integrate the tribes he conquered?,orphans from the conquered tribe; orphans; orphans from the conquered tribe
What did Temüjin offer the people he conquered in order earn their loyalty?,his protection; political innovations; protection and integrated its members into his own tribe.
"To whom did Toghrul refuse to give his daughter in marriage, angering Temüjin?","Jochi; Jochi; Jochi,"
Who did Toghrul join in a campaign against Temüjin?,"Jamukha; Jamukha; Jamukha,"
Who escaped when Temüjin emerged victorious in his conflict with Toghrul?,Jamukha; Jamukha; Jamukha
What tribe fell apart after Temüjin defeated Toghrul?,the Keraite; Keraite; Keraite tribe
Who protected Jamukha after he escaped the conflict with Temüjin?,the Naimans; Naimans; the Naimans
What year was Jamukha elected Gür Khan?,1201; 1201; 1201
What does the title Gür Khan mean?,universal ruler; universal ruler; universal ruler
Which well-known general abandoned Jamukha's coalition against Temüjin?,Subutai; Subutai; Subutai
What year was Jamukha surrendered to Temüjin?,1206; 1206; 1206
What did Temüjin offer Jamukha after the latter's defeat?,his friendship; friendship; friendship
Why did Temüjin kill those of Jamukha's followers that had betrayed their leader?,he did not want disloyal men in his army; did not want disloyal men in his army; he did not want disloyal men in his army
What did Jamukha request from Temüjin instead of friendship?,a noble death; a noble death; a noble death.
What form of death did Jamukha hope Temüjin would allow him?,breaking the back; breaking the back; breaking the back
From whom did Genghis Khan learn seige warfare?,the Chinese; Chinese; the Chinese
Which rival's tribes did Genghis Khan famously measure against the linchpin?,Jamukha; Jamukha; tribes led by Jamukha
An important shaman was alleged to be trying to distance Genghis Khan from which of his brothers?,Khasar; Khasar; Khasar
What aspect of the economy did Genghis Khan exploit for intelligence gathering?,Yam route systems; understanding the motivations of his rivals
Who was the ally of his father that Genghis Khan fell out as time passed?,Wang Khan; Wang Khan; Wang Khan
